target_id	length	eff_length	est_counts	tpm
YP_081455.1	933	725.132	2847	928.586
YP_081456.1	288	95.457	0	0
YP_081457.1	336	134.713	0	0
YP_004940329.1	273	84.7226	59	164.704
YP_004940330.1	144	19.7137	72	863.806
YP_081458.1	513	305.395	912	706.293
YP_081459.1	705	497.217	5232	2488.71
YP_081460.1	1245	1037.13	0	0
YP_081461.1	882	674.132	0	0
YP_081462.1	657	449.24	0	0
YP_081463.1	180	34.3713	757	5208.96
YP_081464.1	450	242.796	72	70.1363
YP_081465.1	501	293.455	52799	42553.6
YP_081466.1	843	635.149	1232	458.762
YP_081468.2	975	767.132	0	0
YP_081467.1	669	461.24	438	224.594
YP_081469.1	702	494.217	236	112.94
YP_081470.1	765	557.163	131	55.6084
YP_081471.1	819	611.149	1118	432.66
YP_081472.1	1422	1214.13	6185	1204.83
YP_081473.1	984	776.132	5468	1666.27
YP_081474.1	309	111.397	393	834.394
YP_081475.1	693	485.217	5678	2767.65
YP_081476.1	315	116.462	7769	15777.3
YP_081477.1	1107	899.132	271	71.2849
YP_081478.1	297	102.162	218	504.682
YP_081479.1	1017	809.132	849	248.165
YP_081480.1	372	167.228	637	900.912
YP_081481.1	318	119.095	201927	401009
YP_081482.1	855	647.149	3657	1336.51
YP_081483.2	1077	869.132	6017	1637.37
YP_081484.1	1971	1763.13	49947	6700.03
YP_081485.1	567	359.287	1309	861.687
YP_081486.1	1827	1619.13	1823	266.291
YP_081487.2	2103	1895.13	7652	954.965
YP_081489.1	366	161.637	4273	6252.36
YP_007947989.1	240	64.3021	3352	12329.1
YP_081490.1	1788	1580.13	20000	2993.56
YP_081491.1	3150	2942.13	9561	768.587
YP_081492.1	1239	1031.13	3756	861.516
YP_081493.1	1224	1016.13	14893	3466.44
YP_081494.1	1926	1718.13	18019	2480.42
YP_081495.1	1431	1223.13	2545	492.115
YP_081496.1	1467	1259.13	1803	338.67
YP_081497.1	996	788.132	1970	591.179
YP_081498.1	666	458.24	17863	9219.62
YP_081499.1	237	62.7481	6782	25562.8
YP_081500.1	378	172.799	4584	6274.16
YP_081501.1	1272	1064.13	6380	1418
YP_081502.1	1302	1094.13	7805	1687.16
YP_081503.1	2721	2513.13	3495	328.915
YP_081504.1	873	665.132	635	225.797
YP_081505.1	2952	2744.13	621	53.5228
YP_081506.1	6726	6518.13	22314	809.667
YP_081507.1	228	57.1813	1662	6874.3
YP_081508.1	1713	1505.13	4170	655.26
YP_081509.1	1197	989.132	1584	378.75
YP_081510.1	474	266.545	705	625.563
YP_081511.1	2007	1799.13	4673	614.306
YP_081512.1	1131	923.132	8927	2287.14
YP_081513.1	3729	3521.13	19666	1320.95
YP_081514.1	2724	2516.13	5791	544.342
YP_081515.1	2553	2345.13	656	66.1589
YP_081516.1	3708	3500.13	742	50.1385
YP_081517.1	2229	2021.13	9396	1099.51
YP_081518.1	2841	2633.13	2535	227.697
YP_081519.1	1086	878.132	2784	749.827
YP_081520.1	1167	959.132	11048	2724.31
YP_081521.1	408	201.593	21587	25326.1
YP_081522.1	1419	1211.13	2710	529.212
YP_002802310.2	213	49.1638	13605	65449.3
YP_081523.1	2229	2021.13	20143	2357.12
YP_081524.1	978	770.132	2476.65	760.592
YP_081525.1	1911	1703.13	5595.35	777.017
YP_081526.1	1296	1088.13	71466	15533.5
YP_081527.1	888	680.132	2539	882.92
YP_081528.1	2127	1919.13	17245.5	2125.31
YP_081529.1	1122	914.132	34301.5	8874.76
YP_081530.1	1680	1472.13	28279	4543.28
YP_081531.1	1686	1478.13	9176	1468.22
YP_081532.1	1764	1556.13	24890	3782.95
YP_081533.1	921	713.132	3664	1215.17
YP_081534.1	4113	3905.13	5493	332.679
YP_081535.1	2826	2618.13	4452	402.175
YP_081536.1	1290	1082.13	1785	390.13
YP_081537.1	2025	1817.13	11186	1455.93
YP_081538.1	336	134.713	462	811.118
YP_081539.1	606	398.251	1146	680.582
YP_081540.1	1785	1577.13	7248.74	1087.04
YP_081541.1	1038	830.132	22544.3	6423.04
YP_081542.1	1602	1394.13	5772	979.207
YP_081543.1	384	178.522	2110	2795.38
YP_081544.1	2124	1916.13	13403	1654.35
YP_081545.1	1755	1547.13	32918.4	5032.26
YP_081546.1	573	365.26	24468.6	15843.8
YP_081547.1	1116	908.132	19029	4955.86
YP_081548.1	2622	2414.13	6569	643.562
YP_081549.1	750	542.191	772	336.757
YP_081550.1	2094	1886.13	750.599	94.1213
YP_081551.1	2871	2663.13	3276.4	290.975
YP_081552.1	531	323.372	28652	20955.8
YP_081553.1	2055	1847.13	26498	3392.87
YP_081554.1	753	545.191	1979	858.518
YP_081555.1	837	629.149	6829	2567.18
YP_081556.1	942	734.132	14391	4636.27
YP_081557.1	1278	1070.13	10165	2246.58
YP_081558.1	1038	830.132	16677	4751.41
YP_081559.1	606	398.251	3925	2330.96
YP_081560.1	543	335.33	2461	1735.76
YP_081561.1	1743	1535.13	9239.11	1423.43
YP_081562.1	1476	1268.13	4636.89	864.798
YP_081563.1	453	245.741	14249	13713.8
YP_081565.1	645	437.24	2475	1338.77
YP_081566.1	390	184.195	925	1187.73
YP_081567.1	813	605.149	42209	16496.6
YP_081568.1	951	743.132	14261	4538.75
YP_081569.1	228	57.1813	3681	15225.2
YP_081570.1	480	272.511	5281	4583.36
YP_081571.1	363	158.917	0	0
YP_081572.1	393	187.115	10388	13130.3
YP_081573.1	531	323.372	6139	4490.01
YP_081574.1	918	710.132	1658	552.201
YP_081575.1	1017	809.132	7468	2182.91
YP_081576.1	576	368.26	3198	2053.88
YP_081577.1	417	210.326	5122	5759.69
YP_081578.1	510	302.395	4411	3449.96
YP_081579.1	723	515.217	3971	1822.9
YP_081580.1	927	719.132	2601	855.428
YP_081581.1	774	566.163	1832	765.307
YP_081582.1	243	66.0116	903	3235.34
YP_081583.1	243	66.0116	854	3059.78
YP_081584.1	234	60.7721	1482	5767.61
YP_081585.1	189	37.914	1106	6899.34
YP_081586.1	1920	1712.13	10359.6	1431.06
YP_004940331.1	816	608.149	7520.41	2924.72
YP_081587.1	2544	2336.13	0	0
YP_081588.1	471	263.565	0	0
YP_081589.1	600	392.251	135	81.3996
YP_081590.1	561	353.296	0	0
YP_081591.1	549	341.314	0	0
YP_081592.1	678	470.217	870	437.596
YP_081593.1	684	476.217	1415	702.754
YP_081594.1	744	536.191	1252	552.252
YP_081595.1	558	350.296	344	232.26
YP_081596.1	648	440.24	608	326.637
YP_081597.1	846	638.149	3884	1439.49
YP_081598.1	786	578.163	1309	535.477
YP_081599.1	933	725.132	1154	376.392
YP_081600.1	789	581.163	663	269.816
YP_081601.1	930	722.132	1202	393.677
YP_081602.1	882	674.132	1882	660.278
YP_081603.1	825	617.149	5723	2193.24
YP_081604.1	723	515.217	1726	792.324
YP_081605.1	765	557.163	2632	1117.26
YP_081606.1	732	524.217	647	291.907
YP_081607.1	1731	1523.13	3390	526.398
YP_081608.1	1779	1571.13	1154	173.718
YP_081609.1	1506	1298.13	811	147.759
YP_081610.1	1812	1604.13	1934	285.147
YP_081611.1	1095	887.132	8319	2217.86
YP_081612.1	1065	857.132	37742	10414.3
YP_081613.1	1389	1181.13	6230.41	1247.58
YP_081614.1	1050	842.132	13501.6	3791.9
YP_081615.1	486	278.484	5882	4995.48
YP_081616.1	552	344.314	7994	5491.13
YP_004940332.1	174	31.8558	1770	13141.2
YP_081617.1	492	284.484	13326	11078.8
YP_081618.1	195	40.7641	1957	11354.4
YP_081619.1	2367	2159.13	2614	286.338
